Address,Sum of TotalCredits,Row Labels,Sum of total credit,,DIFFERENCE,,Roads,SewerTransmission,SewerCapacity,Parks,Stormwater,OpenSpace,chk,PLAT,RES,Transfer,,,"TRANSFER FROM PROVIDENCE BUS CTR TO ANDERSON-RAMSEY LLC RES 447-2006 12.17.13  ROADS 103,076.14"
1129 Oatlands Park," 	3,285.92 ",,,," 	3,285.92 ",,1643.42,,,542.22,908.32,191.96, 	0.00 ,L-884,NSWR RES370-2002,,,,
113 Somersly Place," 	7,245.25 ",,,," 	7,245.25 ",,1541.27,1444.79,662.69,566.12,2629.05,401.33, 	-   ,DP,SWR MEMO 7-28-04; NSWR MEMO 10-08-04,,,,
1132 Deerhaven Lane," 	3,285.92 ",,,," 	3,285.92 ",,1643.42,,,542.22,908.32,191.96, 	0.00 ,L-883,NSWR RES370-2002,,,,
1132 Oatlands Park," 	3,285.92 ",,,," 	3,285.92 ",,1643.42,,,542.22,908.32,191.96, 	0.00 ,L-884,NSWR RES370-2002,,,,
1133 Oatlands Park," 	3,285.92 ",,,," 	3,285.92 ",,1643.42,,,542.22,908.32,191.96, 	0.00 ,L-884,NSWR RES370-2002,,,,
1136 Deerhaven Lane," 	3,285.92 ",,,," 	3,285.92 ",,1643.42,,,542.22,908.32,191.96, 	0.00 ,L-883,NSWR RES370-2002,,,,
1136 Oatlands Park," 	3,285.92 ",,,," 	3,285.92 ",,1643.42,,,542.22,908.32,191.96, 	0.00 ,L-884,NSWR RES370-2002,,,,
1137 Oatlands Park," 	3,285.92 ",,,," 	3,285.92 ",,1643.42,,,542.22,908.32,191.96, 	0.00 ,L-884,NSWR RES370-2002,,,,
1140 Deerhaven Lane," 	3,285.92 ",,,," 	3,285.92 ",,1643.42,,,542.22,908.32,191.96, 	0.00 ,L-883,NSWR RES370-2002,,,,
1140 Oatlands Park," 	3,285.92 ",,,," 	3,285.92 ",,1643.42,,,542.22,908.32,191.96, 	0.00 ,L-884,NSWR RES370-2002,,,,
1141 Oatlands Park," 	3,285.92 ",,,," 	3,285.92 ",,1643.42,,,542.22,908.32,191.96, 	0.00 ,L-884,NSWR RES370-2002,,,,
1144 Deerhaven Lane," 	3,285.92 ",,,," 	3,285.92 ",,1643.42,,,542.22,908.32,191.96, 	0.00 ,L-883,NSWR RES370-2002,,,,
1144 Oatlands Park," 	3,285.92 ",,,," 	3,285.92 ",,1643.42,,,542.22,908.32,191.96, 	0.00 ,L-884,NSWR RES370-2002,,,,
1145 Oatlands Park," 	3,285.92 ",,,," 	3,285.92 ",,1643.42,,,542.22,908.32,191.96, 	0.00 ,L-884,NSWR RES370-2002,,,,
1148 Deerhaven Lane," 	3,285.92 ",,,," 	3,285.92 ",,1643.42,,,542.22,908.32,191.96, 	0.00 ,L-883,NSWR RES370-2002,,,,
1148 Oatlands Park," 	3,285.92 ",,,," 	3,285.92 ",,1643.42,,,542.22,908.32,191.96, 	0.00 ,L-883,NSWR RES370-2002,,,,
1149 Oatlands Park," 	3,285.92 ",,,," 	3,285.92 ",,1643.42,,,542.22,908.32,191.96, 	0.00 ,L-883,NSWR RES370-2002,,,,
1152 Deerhaven Lane," 	3,285.92 ",,,," 	3,285.92 ",,1643.42,,,542.22,908.32,191.96, 	0.00 ,L-883,NSWR RES370-2002,,,,
1152 Oatlands Park," 	3,285.92 ",,,," 	3,285.92 ",,1643.42,,,542.22,908.32,191.96, 	0.00 ,L-883,NSWR RES370-2002,,,,
1153 Oatlands Park," 	3,285.92 ",,,," 	3,285.92 ",,1643.42,,,542.22,908.32,191.96, 	0.00 ,L-883,NSWR RES370-2002,,,,
1156 Deerhaven Lane," 	3,285.92 ",,,," 	3,285.92 ",,1643.42,,,542.22,908.32,191.96, 	0.00 ,L-883,NSWR RES370-2002,,,,
1156 Oatlands Park," 	3,285.92 ",,,," 	3,285.92 ",,1643.42,,,542.22,908.32,191.96, 	0.00 ,L-883,NSWR RES370-2002,,,,
1157 Oatlands Park," 	3,285.92 ",,,," 	3,285.92 ",,1643.42,,,542.22,908.32,191.96, 	0.00 ,L-883,NSWR RES370-2002,,,,
116 Somersly Place," 	7,245.25 ",,,," 	7,245.25 ",,1541.27,1444.79,662.69,566.12,2629.05,401.33, 	-   ,DP,SWR MEMO 7-28-04; NSWR MEMO 10-08-04,,,,
1160 Deerhaven Lane," 	3,285.92 ",,,," 	3,285.92 ",,1643.42,,,542.22,908.32,191.96, 	0.00 ,L-883,NSWR RES370-2002,,,,
1160 Oatlands Park," 	3,285.92 ",,,," 	3,285.92 ",,1643.42,,,542.22,908.32,191.96, 	0.00 ,L-883,NSWR RES370-2002,,,,
1161 Oatlands Park," 	3,285.92 ",,,," 	3,285.92 ",,1643.42,,,542.22,908.32,191.96, 	0.00 ,L-883,NSWR RES370-2002,,,,
1164 Deerhaven Lane," 	3,285.92 ",,,," 	3,285.92 ",,1643.42,,,542.22,908.32,191.96, 	0.00 ,L-883,NSWR RES370-2002,,,,
1165 Oatlands Park," 	3,285.92 ",,,," 	3,285.92 ",,1643.42,,,542.22,908.32,191.96, 	0.00 ,L-883,NSWR RES370-2002,,,,
