Address,Sum of TotalCredits,Row Labels,Sum of total credit,,DIFFERENCE,,Roads,SewerTransmission,SewerCapacity,Parks,Stormwater,OpenSpace,chk,PLAT,RES,Transfer,,,"TRANSFER FROM PROVIDENCE BUS CTR TO ANDERSON-RAMSEY LLC RES 447-2006 12.17.13  ROADS 103,076.14"
2125 Millstone Way," 	4,829.52 ",,,," 	4,829.52 ",,2256.19,,,1212.03,1135.51,225.79, 	-   ,M-709,NSWR RES401-2005,,,,
2125 Shaker Run Road," 	1,267.22 ",,,," 	1,267.22 ",,997.39,,,54.83,0,215, 	-   ,L-108,NSWR RES698-2000,,,,
2128 Market Garden Lane," 	1,778.55 ",,,," 	1,778.55 ",,1037.06,,,133.52,486.6,121.37, 	(0.00),L-742,NSWR RES698-2000,,,,
2129 Market Garden Lane," 	1,778.55 ",,,," 	1,778.55 ",,1037.06,,,133.52,486.6,121.37, 	(0.00),L-742,NSWR RES698-2000,,,,
2129 Millstone Way," 	4,829.52 ",,,," 	4,829.52 ",,2256.19,,,1212.03,1135.51,225.79, 	-   ,M-709,NSWR RES401-2005,,,,
2129 Shaker Run Road," 	3,566.44 ",,,," 	3,566.44 ",,1915.87,400.55,,173.08,861.94,215, 	(0.00),L-108,SWR & NSWR RES698-2000,"Transfer Credits from Northfork/Bryant Rd. to Ball Homes, Inc on 6/21/01; RES 290-2002",,,
2132 Market Garden Lane," 	1,778.55 ",,,," 	1,778.55 ",,1037.06,,,133.52,486.6,121.37, 	(0.00),L-742,NSWR RES698-2000,,,,
2133 Market Garden Lane," 	1,778.55 ",,,," 	1,778.55 ",,1037.06,,,133.52,486.6,121.37, 	(0.00),L-742,NSWR RES698-2000,,,,
2133 Millstone Way," 	4,829.52 ",,,," 	4,829.52 ",,2256.19,,,1212.03,1135.51,225.79, 	-   ,M-709,NSWR RES401-2005,,,,
2133 Shaker Run Road," 	1,267.22 ",,,," 	1,267.22 ",,997.39,,,54.83,0,215, 	-   ,L-108,NSWR RES698-2000,,,,
2136 Market Garden Lane," 	1,778.55 ",,,," 	1,778.55 ",,1037.06,,,133.52,486.6,121.37, 	(0.00),L-742,NSWR RES698-2000,,,,
2136 Millstone Way," 	4,829.52 ",,,," 	4,829.52 ",,2256.19,,,1212.03,1135.51,225.79, 	-   ,M-709,NSWR RES401-2005,,,,
2137 Market Garden Lane," 	1,778.55 ",,,," 	1,778.55 ",,1037.06,,,133.52,486.6,121.37, 	(0.00),L-742,NSWR RES698-2000,,,,
2137 Millstone Way," 	4,829.52 ",,,," 	4,829.52 ",,2256.19,,,1212.03,1135.51,225.79, 	-   ,M-709,NSWR RES401-2005,,,,
2137 Shaker Run Road," 	3,566.44 ",,,," 	3,566.44 ",,1915.87,400.55,,173.08,861.94,215, 	(0.00),L-109,SWR & NSWR RES698-2000,,,,
2140 Market Garden Lane," 	1,778.55 ",,,," 	1,778.55 ",,1037.06,,,133.52,486.6,121.37, 	(0.00),L-742,NSWR RES698-2000,,,,
2141 Millstone Way," 	4,829.52 ",,,," 	4,829.52 ",,2256.19,,,1212.03,1135.51,225.79, 	-   ,M-709,NSWR RES401-2005,,,,
2141 Shaker Run Road," 	1,267.22 ",,,," 	1,267.22 ",,997.39,,,54.83,0,215, 	-   ,L-109,NSWR RES698-2000,,,,
2144 Market Garden Lane," 	1,778.55 ",,,," 	1,778.55 ",,1037.06,,,133.52,486.6,121.37, 	(0.00),L-742,NSWR RES698-2000,,,,
2144 Millstone Way," 	4,829.52 ",,,," 	4,829.52 ",,2256.19,,,1212.03,1135.51,225.79, 	-   ,M-709,NSWR RES401-2005,,,,
2145 Millstone Way," 	4,829.52 ",,,," 	4,829.52 ",,2256.19,,,1212.03,1135.51,225.79, 	-   ,M-709,NSWR RES401-2005,,,,
2145 Shaker Run Road," 	3,566.44 ",,,," 	3,566.44 ",,1915.87,400.55,,173.08,861.94,215, 	(0.00),L-109,SWR & NSWR RES698-2000,,,,
2148 Market Garden Lane," 	1,778.55 ",,,," 	1,778.55 ",,1037.06,,,133.52,486.6,121.37, 	(0.00),L-742,NSWR RES698-2000,,,,
2148 Millstone Way," 	4,829.52 ",,,," 	4,829.52 ",,2256.19,,,1212.03,1135.51,225.79, 	-   ,M-709,NSWR RES401-2005,,,,
2149 Millstone Way," 	4,829.52 ",,,," 	4,829.52 ",,2256.19,,,1212.03,1135.51,225.79, 	-   ,M-709,NSWR RES401-2005,,,,
2149 Shaker Run Road," 	1,267.22 ",,,," 	1,267.22 ",,997.39,,,54.83,0,215, 	-   ,L-109,NSWR RES698-2000,,,,
2152 Market Garden Lane," 	1,778.55 ",,,," 	1,778.55 ",,1037.06,,,133.52,486.6,121.37, 	(0.00),L-742,NSWR RES698-2000,,,,
2153 Millstone Way," 	4,829.52 ",,,," 	4,829.52 ",,2256.19,,,1212.03,1135.51,225.79, 	-   ,M-709,NSWR RES401-2005,,,,
2153 Shaker Run Road," 	1,267.22 ",,,," 	1,267.22 ",,997.39,,,54.83,0,215, 	-   ,L-109,NSWR RES698-2000,,,,
2156 Market Garden Lane," 	1,778.55 ",,,," 	1,778.55 ",,1037.06,,,133.52,486.6,121.37, 	(0.00),L-742,NSWR RES698-2000,,,,
2156 Millstone Way," 	4,829.52 ",,,," 	4,829.52 ",,2256.19,,,1212.03,1135.51,225.79, 	-   ,M-709,NSWR RES401-2005,,,,
2157 Birkdale Drive," 	1,267.22 ",,,," 	1,267.22 ",,997.39,,,54.83,0,215, 	-   ,L-110,NSWR RES698-2000,,,,
2157 Market Garden Lane," 	1,778.55 ",,,," 	1,778.55 ",,1037.06,,,133.52,486.6,121.37, 	(0.00),L-742,NSWR RES698-2000,,,,
2157 Millstone Way," 	4,829.52 ",,,," 	4,829.52 ",,2256.19,,,1212.03,1135.51,225.79, 	-   ,M-709,NSWR RES401-2005,,,,
2160 Market Garden Lane," 	1,778.55 ",,,," 	1,778.55 ",,1037.06,,,133.52,486.6,121.37, 	(0.00),L-742,NSWR RES698-2000,,,,
2160 Millstone Way," 	4,829.52 ",,,," 	4,829.52 ",,2256.19,,,1212.03,1135.51,225.79, 	-   ,M-709,NSWR RES401-2005,,,,
2161 Birkdale Drive," 	1,267.22 ",,,," 	1,267.22 ",,997.39,,,54.83,0,215, 	-   ,L-110,NSWR RES698-2000,,,,
2161 Millstone Way," 	4,829.52 ",,,," 	4,829.52 ",,2256.19,,,1212.03,1135.51,225.79, 	-   ,M-709,NSWR RES401-2005,,,,
2164 Birkdale Drive," 	1,267.22 ",,,," 	1,267.22 ",,997.39,,,54.83,0,215, 	-   ,L-110,NSWR RES698-2000,,,,
2164 Market Garden Lane," 	1,778.55 ",,,," 	1,778.55 ",,1037.06,,,133.52,486.6,121.37, 	(0.00),L-742,NSWR RES698-2000,,,,
2164 Shaker Run Road," 	1,267.22 ",,,," 	1,267.22 ",,997.39,,,54.83,0,215, 	-   ,L-109,NSWR RES698-2000,,,,
2165 Birkdale Drive," 	1,267.22 ",,,," 	1,267.22 ",,997.39,,,54.83,0,215, 	-   ,L-110,NSWR RES698-2000,,,,
2165 Market Garden Lane," 	1,778.55 ",,,," 	1,778.55 ",,1037.06,,,133.52,486.6,121.37, 	(0.00),L-742,NSWR RES698-2000,,,,
2165 Millstone Way," 	4,829.52 ",,,," 	4,829.52 ",,2256.19,,,1212.03,1135.51,225.79, 	-   ,M-709,NSWR RES401-2005,,,,
2165 Shaker Run Road," 	1,267.22 ",,,," 	1,267.22 ",,997.39,,,54.83,0,215, 	-   ,L-109,NSWR RES698-2000,,,,
2168 Birkdale Drive," 	1,267.22 ",,,," 	1,267.22 ",,997.39,,,54.83,0,215, 	-   ,L-110,NSWR RES698-2000,,,,
2168 Market Garden Lane," 	1,778.55 ",,,," 	1,778.55 ",,1037.06,,,133.52,486.6,121.37, 	(0.00),L-742,NSWR RES698-2000,,,,
2168 Shaker Run Road," 	1,267.22 ",,,," 	1,267.22 ",,997.39,,,54.83,0,215, 	-   ,L-109,NSWR RES698-2000,,,,
2169 Birkdale Drive," 	1,267.22 ",,,," 	1,267.22 ",,997.39,,,54.83,0,215, 	-   ,L-110,NSWR RES698-2000,,,,
2169 Market Garden Lane," 	1,778.55 ",,,," 	1,778.55 ",,1037.06,,,133.52,486.6,121.37, 	(0.00),L-742,NSWR RES698-2000,,,,
2169 Millstone Way," 	4,829.52 ",,,," 	4,829.52 ",,2256.19,,,1212.03,1135.51,225.79, 	-   ,M-709,NSWR RES401-2005,,,,
2169 Shaker Run Road," 	1,267.22 ",,,," 	1,267.22 ",,997.39,,,54.83,0,215, 	-   ,L-109,NSWR RES698-2000,,,,
2172 Birkdale Drive," 	1,267.22 ",,,," 	1,267.22 ",,997.39,,,54.83,0,215, 	-   ,L-110,NSWR RES698-2000,,,,
2172 Market Garden Lane," 	1,778.55 ",,,," 	1,778.55 ",,1037.06,,,133.52,486.6,121.37, 	(0.00),L-742,NSWR RES698-2000,,,,
2172 Millstone Way," 	4,829.52 ",,,," 	4,829.52 ",,2256.19,,,1212.03,1135.51,225.79, 	-   ,M-709,NSWR RES401-2005,,,,
2172 Shaker Run Road," 	3,566.44 ",,,," 	3,566.44 ",,1915.87,400.55,,173.08,861.94,215, 	(0.00),L-109,SWR & NSWR RES698-2000,,,,
2173 Birkdale Drive," 	1,267.22 ",,,," 	1,267.22 ",,997.39,,,54.83,0,215, 	-   ,L-110,NSWR RES698-2000,,,,
2173 Market Garden Lane," 	1,778.55 ",,,," 	1,778.55 ",,1037.06,,,133.52,486.6,121.37, 	(0.00),L-742,NSWR RES698-2000,,,,
2173 Millstone Way," 	4,829.52 ",,,," 	4,829.52 ",,2256.19,,,1212.03,1135.51,225.79, 	-   ,M-709,NSWR RES401-2005,,,,
2173 Shaker Run Road," 	1,267.22 ",,,," 	1,267.22 ",,997.39,,,54.83,0,215, 	-   ,L-109,NSWR RES698-2000,,,,
2176 Birkdale Drive," 	1,267.22 ",,,," 	1,267.22 ",,997.39,,,54.83,0,215, 	-   ,L-110,NSWR RES698-2000,,,,
2176 Market Garden Lane," 	1,778.55 ",,,," 	1,778.55 ",,1037.06,,,133.52,486.6,121.37, 	(0.00),L-742,NSWR RES698-2000,,,,
2176 Shaker Run Road," 	1,267.22 ",,,," 	1,267.22 ",,997.39,,,54.83,0,215, 	-   ,L-109,NSWR RES698-2000,,,,
2177 Birkdale Drive," 	1,267.22 ",,,," 	1,267.22 ",,997.39,,,54.83,0,215, 	-   ,L-110,NSWR RES698-2000,,,,
2177 Market Garden Lane," 	1,778.55 ",,,," 	1,778.55 ",,1037.06,,,133.52,486.6,121.37, 	(0.00),L-742,NSWR RES698-2000,,,,
2177 Millstone Way," 	4,829.52 ",,,," 	4,829.52 ",,2256.19,,,1212.03,1135.51,225.79, 	-   ,M-709,NSWR RES401-2005,,,,
2177 Shaker Run Road," 	1,267.22 ",,,," 	1,267.22 ",,997.39,,,54.83,0,215, 	-   ,L-109,NSWR RES698-2000,,,,
2180 Market Garden Lane," 	1,778.55 ",,,," 	1,778.55 ",,1037.06,,,133.52,486.6,121.37, 	(0.00),L-742,NSWR RES698-2000,,,,
2180 Shaker Run Road," 	1,267.22 ",,,," 	1,267.22 ",,997.39,,,54.83,0,215, 	-   ,L-109,NSWR RES698-2000,,,,
2181 Millstone Way," 	4,829.52 ",,,," 	4,829.52 ",,2256.19,,,1212.03,1135.51,225.79, 	-   ,M-709,NSWR RES401-2005,,,,
2181 Shaker Run Road," 	1,267.22 ",,,," 	1,267.22 ",,997.39,,,54.83,0,215, 	-   ,L-109,NSWR RES698-2000,,,,
2184 Market Garden Lane," 	1,778.55 ",,,," 	1,778.55 ",,1037.06,,,133.52,486.6,121.37, 	(0.00),L-742,NSWR RES698-2000,,,,
2184 Millstone Way," 	2,638.06 ",,,," 	2,638.06 ",,1378.88,,336.75,430.46,411.16,80.81, 	-   ,M-709,SWR RES281-2002; NSWR RES365-2006,,,,
2185 Shaker Run Road," 	1,267.22 ",,,," 	1,267.22 ",,997.39,,,54.83,0,215, 	-   ,L-109,NSWR RES698-2000,,,,
2188 Ice House Way," 	4,829.52 ",,,," 	4,829.52 ",,2256.19,,,1212.03,1135.51,225.79, 	-   ,M-706,NSWR RES401-2005,,,,
2188 Market Garden Lane," 	1,778.55 ",,,," 	1,778.55 ",,1037.06,,,133.52,486.6,121.37, 	(0.00),L-742,NSWR RES698-2000,,,,
2189 Ice House Way," 	4,829.52 ",,,," 	4,829.52 ",,2256.19,,,1212.03,1135.51,225.79, 	-   ,M-706,NSWR RES401-2005,,,,
2189 Shaker Run Road," 	1,267.22 ",,,," 	1,267.22 ",,997.39,,,54.83,0,215, 	-   ,L-109,NSWR RES698-2000,,,,
2192 Ice House Way," 	4,829.52 ",,,," 	4,829.52 ",,2256.19,,,1212.03,1135.51,225.79, 	-   ,M-706,NSWR RES401-2005,,,,
2192 Market Garden Lane," 	1,778.55 ",,,," 	1,778.55 ",,1037.06,,,133.52,486.6,121.37, 	(0.00),L-742,NSWR RES698-2000,,,,
2193 Birkdale Drive," 	1,267.22 ",,,," 	1,267.22 ",,997.39,,,54.83,0,215, 	-   ,L-110,NSWR RES698-2000,,,,
2193 Ice House Way," 	4,829.52 ",,,," 	4,829.52 ",,2256.19,,,1212.03,1135.51,225.79, 	-   ,M-706,NSWR RES401-2005,,,,
2193 Shaker Run Road," 	3,566.44 ",,,," 	3,566.44 ",,1915.87,400.55,,173.08,861.94,215, 	(0.00),L-109,SWR & NSWR RES698-2000,,,,
2196 Market Garden Lane," 	1,778.55 ",,,," 	1,778.55 ",,1037.06,,,133.52,486.6,121.37, 	(0.00),L-742,NSWR RES698-2000,,,,
2200 Market Garden Lane," 	1,778.55 ",,,," 	1,778.55 ",,1037.06,,,133.52,486.6,121.37, 	(0.00),L-742,NSWR RES698-2000,,,,
2201 Barrington Lane," 	1,590.91 ",,,," 	1,590.91 ",,1252.16,,,68.83,0,269.92, 	-   ,L-113,NSWR RES698-2000,,,,
2201 Market Garden Lane," 	1,778.55 ",,,," 	1,778.55 ",,1037.06,,,133.52,486.6,121.37, 	(0.00),L-742,NSWR RES698-2000,,,,
2201 Sunningdale Drive," 	6,171.00 ",,,," 	6,171.00 ",,3598,,,464,1688,421, 	-   ,L-462,NSWR RES698-2000,,,,
2204 Barrington Lane," 	1,590.91 ",,,," 	1,590.91 ",,1252.16,,,68.83,0,269.92, 	-   ,L-113,NSWR RES698-2000,,,,
2204 Blackmoor Park Lane," 	1,590.91 ",,,," 	1,590.91 ",,1252.16,,,68.83,0,269.92, 	-   ,L-116,NSWR RES698-2000,,,,
2204 Dunhill Lane," 	1,875.59 ",,,," 	1,875.59 ",,1476.22,,,81.15,0,318.22, 	0.00 ,L-104,NSWR RES698-2000,,,,
2204 Market Garden Lane," 	1,778.55 ",,,," 	1,778.55 ",,1037.06,,,133.52,486.6,121.37, 	(0.00),L-742,NSWR RES698-2000,,,,
2204 Shaker Run Road," 	1,875.59 ",,,," 	1,875.59 ",,1476.22,,,81.15,0,318.22, 	0.00 ,L-104,NSWR RES698-2000,,,,
2205 Barrington Lane," 	1,590.91 ",,,," 	1,590.91 ",,1252.16,,,68.83,0,269.92, 	-   ,L-113,NSWR RES698-2000,,,,
2205 Blackmoor Park Lane," 	1,590.91 ",,,," 	1,590.91 ",,1252.16,,,68.83,0,269.92, 	-   ,L-116,NSWR RES698-2000,,,,
2205 Dunhill Lane," 	1,875.59 ",,,," 	1,875.59 ",,1476.22,,,81.15,0,318.22, 	0.00 ,L-104,NSWR RES698-2000,,,,
2205 Shaker Run Road," 	1,875.59 ",,,," 	1,875.59 ",,1476.22,,,81.15,0,318.22, 	0.00 ,L-105,NSWR RES698-2000,,,,
2205 Sunningdale Drive," 	6,171.00 ",,,," 	6,171.00 ",,3598,,,464,1688,421, 	-   ,L-462,NSWR RES698-2000,,,,
2208 Barrington Lane," 	1,590.91 ",,,," 	1,590.91 ",,1252.16,,,68.83,0,269.92, 	-   ,L-115,NSWR RES698-2000,,,,
2208 Blackmoor Park Lane," 	1,590.91 ",,,," 	1,590.91 ",,1252.16,,,68.83,0,269.92, 	-   ,L-116,NSWR RES698-2000,,,,
2208 Dunhill Lane," 	1,875.59 ",,,," 	1,875.59 ",,1476.22,,,81.15,0,318.22, 	0.00 ,L-104,NSWR RES698-2000,,,,
2208 Market Garden Lane," 	1,778.55 ",,,," 	1,778.55 ",,1037.06,,,133.52,486.6,121.37, 	(0.00),L-739,NSWR RES698-2000,,,,
2208 Shaker Run Road," 	1,875.59 ",,,," 	1,875.59 ",,1476.22,,,81.15,0,318.22, 	0.00 ,L-105,NSWR RES698-2000,,,,
2208 Sunningdale Drive," 	6,171.00 ",,,," 	6,171.00 ",,3598,,,464,1688,421, 	-   ,L-462,NSWR RES698-2000,,,,
2209 Barrington Lane," 	1,590.91 ",,,," 	1,590.91 ",,1252.16,,,68.83,0,269.92, 	-   ,L-115,NSWR RES698-2000,,,,
2209 Blackmoor Park Lane," 	1,590.91 ",,,," 	1,590.91 ",,1252.16,,,68.83,0,269.92, 	-   ,L-116,NSWR RES698-2000,,,,
2209 Dunhill Lane," 	1,875.59 ",,,," 	1,875.59 ",,1476.22,,,81.15,0,318.22, 	0.00 ,L-104,NSWR RES698-2000,,,,
2209 Shaker Run Road," 	1,875.59 ",,,," 	1,875.59 ",,1476.22,,,81.15,0,318.22, 	0.00 ,L-105,NSWR RES698-2000,,,,
2209 Sunningdale Drive," 	6,171.00 ",,,," 	6,171.00 ",,3598,,,464,1688,421, 	-   ,L-462,NSWR RES698-2000,,,,
2212 Barrington Lane," 	1,590.91 ",,,," 	1,590.91 ",,1252.16,,,68.83,0,269.92, 	-   ,L-115,NSWR RES698-2000,,,,
2212 Dunhill Lane," 	1,875.59 ",,,," 	1,875.59 ",,1476.22,,,81.15,0,318.22, 	0.00 ,L-104,NSWR RES698-2000,,,,
2212 Market Garden Lane," 	1,778.55 ",,,," 	1,778.55 ",,1037.06,,,133.52,486.6,121.37, 	(0.00),L-739,NSWR RES698-2000,,,,
2212 Shaker Run Road," 	1,875.59 ",,,," 	1,875.59 ",,1476.22,,,81.15,0,318.22, 	0.00 ,L-105,NSWR RES698-2000,,,,
2213 Barrington Lane," 	1,590.91 ",,,," 	1,590.91 ",,1252.16,,,68.83,0,269.92, 	-   ,L-115,NSWR RES698-2000,,,,
2213 Blackmoor Park Lane," 	1,590.91 ",,,," 	1,590.91 ",,1252.16,,,68.83,0,269.92, 	-   ,L-116,NSWR RES698-2000,,,,
2213 Dunhill Lane," 	1,875.59 ",,,," 	1,875.59 ",,1476.22,,,81.15,0,318.22, 	0.00 ,L-104,NSWR RES698-2000,,,,
2213 Shaker Run Road," 	1,875.59 ",,,," 	1,875.59 ",,1476.22,,,81.15,0,318.22, 	0.00 ,L-105,NSWR RES698-2000,,,,
2213 Sunningdale Drive," 	6,171.00 ",,,," 	6,171.00 ",,3598,,,464,1688,421, 	-   ,L-462,NSWR RES698-2000,,,,
2216 Barrington Lane," 	1,590.91 ",,,," 	1,590.91 ",,1252.16,,,68.83,0,269.92, 	-   ,L-115,NSWR RES698-2000,,,,
2216 Dunhill Lane," 	1,875.59 ",,,," 	1,875.59 ",,1476.22,,,81.15,0,318.22, 	0.00 ,L-104,NSWR RES698-2000,,,,
2216 Market Garden Lane," 	1,778.55 ",,,," 	1,778.55 ",,1037.06,,,133.52,486.6,121.37, 	(0.00),L-739,NSWR RES698-2000,,,,
2216 Sunningdale Drive," 	6,171.00 ",,,," 	6,171.00 ",,3598,,,464,1688,421, 	-   ,L-462,NSWR RES698-2000,,,,
2217 Barrington Lane," 	1,590.91 ",,,," 	1,590.91 ",,1252.16,,,68.83,0,269.92, 	-   ,L-115,NSWR RES698-2000,,,,
2217 Blackmoor Park Lane," 	1,590.91 ",,,," 	1,590.91 ",,1252.16,,,68.83,0,269.92, 	-   ,L-116,NSWR RES698-2000,,,,
2217 Dunhill Lane," 	1,875.59 ",,,," 	1,875.59 ",,1476.22,,,81.15,0,318.22, 	0.00 ,L-104,NSWR RES698-2000,,,,
2217 Market Garden Lane," 	1,778.55 ",,,," 	1,778.55 ",,1037.06,,,133.52,486.6,121.37, 	(0.00),L-739,NSWR RES698-2000,,,,
2217 Shaker Run Road," 	1,875.59 ",,,," 	1,875.59 ",,1476.22,,,81.15,0,318.22, 	0.00 ,L-105,NSWR RES698-2000,,,,
2217 Sunningdale Drive," 	6,171.00 ",,,," 	6,171.00 ",,3598,,,464,1688,421, 	-   ,L-462,NSWR RES698-2000,,,,
2220 Dunhill Lane," 	1,875.59 ",,,," 	1,875.59 ",,1476.22,,,81.15,0,318.22, 	0.00 ,L-104,NSWR RES698-2000,,,,
2220 Market Garden Lane," 	1,778.55 ",,,," 	1,778.55 ",,1037.06,,,133.52,486.6,121.37, 	(0.00),L-739,NSWR RES698-2000,,,,
2220 Sunningdale Drive," 	6,171.00 ",,,," 	6,171.00 ",,3598,,,464,1688,421, 	-   ,L-462,NSWR RES698-2000,,,,
2221 Barrington Lane," 	1,590.91 ",,,," 	1,590.91 ",,1252.16,,,68.83,0,269.92, 	-   ,L-115,NSWR RES698-2000,,,,
2221 Blackmoor Park Lane," 	1,590.91 ",,,," 	1,590.91 ",,1252.16,,,68.83,0,269.92, 	-   ,L-116,NSWR RES698-2000,,,,
2221 Market Garden Lane," 	1,778.55 ",,,," 	1,778.55 ",,1037.06,,,133.52,486.6,121.37, 	(0.00),L-739,NSWR RES698-2000,,,,
2221 Shaker Run Road," 	1,875.59 ",,,," 	1,875.59 ",,1476.22,,,81.15,0,318.22, 	0.00 ,L-105,NSWR RES698-2000,,,,
2221 Sunningdale Drive," 	6,171.00 ",,,," 	6,171.00 ",,3598,,,464,1688,421, 	-   ,L-462,NSWR RES698-2000,,,,
2224 Dunhill Lane," 	4,667.00 ",,,," 	4,667.00 ",,2722,,,350,1277,318, 	-   ,L-463,NSWR RES698-2000,,,,
2224 Market Garden Lane," 	1,778.55 ",,,," 	1,778.55 ",,1037.06,,,133.52,486.6,121.37, 	(0.00),L-739,NSWR RES698-2000,,,,
2224 Sunningdale Drive," 	6,171.00 ",,,," 	6,171.00 ",,3598,,,464,1688,421, 	-   ,L-462,NSWR RES698-2000,,,,
2225 Barrington Lane," 	1,590.91 ",,,," 	1,590.91 ",,1252.16,,,68.83,0,269.92, 	-   ,L-115,NSWR RES698-2000,,,,
2225 Blackmoor Park Lane," 	1,590.91 ",,,," 	1,590.91 ",,1252.16,,,68.83,0,269.92, 	-   ,L-116,NSWR RES698-2000,,,,
2225 Shaker Run Road," 	1,875.59 ",,,," 	1,875.59 ",,1476.22,,,81.15,0,318.22, 	0.00 ,L-105,NSWR RES698-2000,,,,
2225 Sunningdale Drive," 	6,171.00 ",,,," 	6,171.00 ",,3598,,,464,1688,421, 	-   ,L-462,NSWR RES698-2000,,,,
2228 Dunhill Lane," 	4,667.00 ",,,," 	4,667.00 ",,2722,,,350,1277,318, 	-   ,L-463,NSWR RES698-2000,,,,
2228 Market Garden Lane," 	1,778.55 ",,,," 	1,778.55 ",,1037.06,,,133.52,486.6,121.37, 	(0.00),L-739,NSWR RES698-2000,,,,
2228 Shaker Run Road," 	1,875.59 ",,,," 	1,875.59 ",,1476.22,,,81.15,0,318.22, 	0.00 ,L-105,NSWR RES698-2000,,,,
2228 Sunningdale Drive," 	6,171.00 ",,,," 	6,171.00 ",,3598,,,464,1688,421, 	-   ,L-462,NSWR RES698-2000,,,,
2229 Blackmoor Park Lane," 	1,590.91 ",,,," 	1,590.91 ",,1252.16,,,68.83,0,269.92, 	-   ,L-116,NSWR RES698-2000,,,,
2229 Shaker Run Road," 	1,875.59 ",,,," 	1,875.59 ",,1476.22,,,81.15,0,318.22, 	0.00 ,L-105,NSWR RES698-2000,,,,
2232 Blackmoor Park Lane," 	1,590.91 ",,,," 	1,590.91 ",,1252.16,,,68.83,0,269.92, 	-   ,L-116,NSWR RES698-2000,,,,
2232 Dunhill Lane," 	4,667.00 ",,,," 	4,667.00 ",,2722,,,350,1277,318, 	-   ,L-463,NSWR RES698-2000,,,,
2232 Market Garden Lane," 	1,778.55 ",,,," 	1,778.55 ",,1037.06,,,133.52,486.6,121.37, 	(0.00),L-739,NSWR RES698-2000,,,,
2232 Sunningdale Drive," 	6,171.00 ",,,," 	6,171.00 ",,3598,,,464,1688,421, 	-   ,L-462,NSWR RES698-2000,,,,
2233 Blackmoor Park Lane," 	1,590.91 ",,,," 	1,590.91 ",,1252.16,,,68.83,0,269.92, 	-   ,L-116,NSWR RES698-2000,,,,
2233 Shaker Run Road," 	1,875.59 ",,,," 	1,875.59 ",,1476.22,,,81.15,0,318.22, 	0.00 ,L-105,NSWR RES698-2000,,,,
2236 Blackmoor Park Lane," 	1,590.91 ",,,," 	1,590.91 ",,1252.16,,,68.83,0,269.92, 	-   ,L-116,NSWR RES698-2000,,,,
2236 Dunhill Lane," 	4,667.00 ",,,," 	4,667.00 ",,2722,,,350,1277,318, 	-   ,L-463,NSWR RES698-2000,,,,
2236 Market Garden Lane," 	1,778.55 ",,,," 	1,778.55 ",,1037.06,,,133.52,486.6,121.37, 	(0.00),L-739,NSWR RES698-2000,,,,
2236 Sunningdale Drive," 	6,171.00 ",,,," 	6,171.00 ",,3598,,,464,1688,421, 	-   ,L-462,NSWR RES698-2000,,,,
2237 Blackmoor Park Lane," 	1,590.91 ",,,," 	1,590.91 ",,1252.16,,,68.83,0,269.92, 	-   ,L-116,NSWR RES698-2000,,,,
2237 Dunhill Lane," 	4,667.00 ",,,," 	4,667.00 ",,2722,,,350,1277,318, 	-   ,L-463,NSWR RES698-2000,,,,
2237 Shaker Run Road," 	1,875.59 ",,,," 	1,875.59 ",,1476.22,,,81.15,0,318.22, 	0.00 ,L-105,NSWR RES698-2000,,,,
2237 Sunningdale Drive," 	6,171.00 ",,,," 	6,171.00 ",,3598,,,464,1688,421, 	-   ,L-462,NSWR RES698-2000,,,,
2240 Dunhill Lane," 	4,667.00 ",,,," 	4,667.00 ",,2722,,,350,1277,318, 	-   ,L-463,NSWR RES698-2000,,,,
2240 Market Garden Lane," 	1,778.55 ",,,," 	1,778.55 ",,1037.06,,,133.52,486.6,121.37, 	(0.00),L-739,NSWR RES698-2000,,,,
2240 Sunningdale Drive," 	6,171.00 ",,,," 	6,171.00 ",,3598,,,464,1688,421, 	-   ,L-462,NSWR RES698-2000,,,,
2241 Blackmoor Park Lane," 	1,590.91 ",,,," 	1,590.91 ",,1252.16,,,68.83,0,269.92, 	-   ,L-116,NSWR RES698-2000,,,,
2241 Dunhill Lane," 	4,667.00 ",,,," 	4,667.00 ",,2722,,,350,1277,318, 	-   ,L-463,NSWR RES698-2000,,,,
2241 Shaker Run Road," 	1,875.59 ",,,," 	1,875.59 ",,1476.22,,,81.15,0,318.22, 	0.00 ,L-105,NSWR RES698-2000,,,,
2244 Blackmoor Park Lane," 	1,590.91 ",,,," 	1,590.91 ",,1252.16,,,68.83,0,269.92, 	-   ,L-115,NSWR RES698-2000,,,,
2244 Dunhill Lane," 	4,667.00 ",,,," 	4,667.00 ",,2722,,,350,1277,318, 	-   ,L-463,NSWR RES698-2000,,,,
2244 Market Garden Lane," 	1,778.55 ",,,," 	1,778.55 ",,1037.06,,,133.52,486.6,121.37, 	(0.00),L-739,NSWR RES698-2000,,,,
2244 Sunningdale Drive," 	4,667.00 ",,,," 	4,667.00 ",,2722,,,350,1277,318, 	-   ,L-463,NSWR RES698-2000,,,,
2245 Blackmoor Park Lane," 	1,590.91 ",,,," 	1,590.91 ",,1252.16,,,68.83,0,269.92, 	-   ,L-116,NSWR RES698-2000,,,,
2245 Shaker Run Road," 	1,875.59 ",,,," 	1,875.59 ",,1476.22,,,81.15,0,318.22, 	0.00 ,L-105,NSWR RES698-2000,,,,
