Address,D_amount,D_chk,D_date,D_paidby,D_Roads,D_SewerTransmission,D_SewerCapacity,D_Parks,D_Stormwater,D_OpenSpace,P_amount,P_chk,P_date,P_paidby,P_Roads,P_SewerTransmission,P_Parks,P_Stormwater
2209 Blackmoor Park Lane, 	845.38 ,1322,9/5/00,"Bryant Road, LLC",,309.33,536.06,,,,2886.00,20149,3/15/01,Pickett Development Corporation,1153.00,503.00,148.00,1082.00
2209 Dunhill Lane, 	996.66 ,1299,10/9/00,McGinnis Homes,,364.68,631.98,,,,3403.00,34739,7/17/01,"McBrayer, McGinnis, Leslie & Kirkland",1359.00,593.00,175.00,1276.00
2209 Sunningdale Drive," 	1,795.00 ",,1/19/06,"Polo Club Assoc, LLC",,784.00,1011.00,,,,784.00,,1/19/06,"Polo Club Assoc, LLC",,784.00,,
2212 Market Garden Lane, 	517.68 ,3123,4/2/08,Bryant Road LLC,,226.13,291.55,,,,226.13,3123,4/2/08,Bryant Road LLC,,226.13,,
2213 Barrington Lane, 	845.38 ,1103,2/8/00,North Fork Land Co. LLC,,309.33,536.06,,,,2886.00,20539,3/28/01,Artique Custom Homes,1153.00,503.00,148.00,1082.00
2213 Blackmoor Park Lane, 	845.38 ,1199,7/6/01,North Fork Land Co. LLC,,309.33,536.06,,,,2886.00,21767,1/7/02,Pickett Development Corporation,1153.00,503.00,148.00,1082.00
2213 Sunningdale Drive," 	1,795.00 ",,1/19/06,"Polo Club Assoc, LLC",,784.00,1011.00,,,,784.00,,1/19/06,"Polo Club Assoc, LLC",,784.00,,
2216 Dunhill Lane, 	996.66 ,1100,4/12/00,"Bryant Road, LLC",,364.68,631.98,,,,3403.00,4995,6/5/01,Daniel J. Wahl,1359.00,593.00,175.00,1276.00
2216 Market Garden Lane, 	517.68 ,3123,4/2/08,Bryant Road LLC,,226.13,291.55,,,,226.13,3123,4/2/08,Bryant Road LLC,,226.13,,
2216 Sunningdale Drive," 	1,795.00 ",,1/19/06,"Polo Club Assoc, LLC",,784.00,1011.00,,,,784.00,,7/26/01,"Bryant Road, LLC",,784.00,,
2217 Barrington Lane, 	845.38 ,1152,11/10/00,North Fork Land Co. LLC,,309.33,536.06,,,,2886.00,20792,5/16/01,Artique Custom Homes,1153.00,503.00,148.00,1082.00
2217 Blackmoor Park Lane, 	845.38 ,1132,6/8/00,Pickett Homes,,309.33,536.06,,,,2886.00,20203,3/28/01,Pickett Homes,1153.00,503.00,148.00,1082.00
2217 Market Garden Lane, 	517.68 ,3123,4/2/08,Bryant Road LLC,,226.13,291.55,,,,226.13,3123,4/2/08,Bryant Road LLC,,226.13,,
2217 Sunningdale Drive," 	1,795.00 ",,1/19/06,"Polo Club Assoc, LLC",,784.00,1011.00,,,,784.00,,7/26/01,"Bryant Road, LLC",,784.00,,
2220 Market Garden Lane, 	517.68 ,3123,4/2/08,Bryant Road LLC,,226.13,291.55,,,,226.13,3123,4/2/08,Bryant Road LLC,,226.13,,
2220 Sunningdale Drive," 	1,795.00 ",,1/19/06,"Polo Club Assoc, LLC",,784.00,1011.00,,,,784.00,,7/26/01,"Bryant Road, LLC",,784.00,,
2221 Blackmoor Park Lane, 	845.38 ,21305,7/10/01,Artique Custom Homes,,309.33,536.06,,,,2886.00,22810,1/25/02,Artique Custom Homes,1153.00,503.00,148.00,1082.00
2221 Market Garden Lane, 	517.68 ,3123,4/2/08,Bryant Road LLC,,226.13,291.55,,,,226.13,3123,4/2/08,Bryant Road LLC,,226.13,,
2221 Sunningdale Drive," 	1,795.00 ",,1/19/06,"Polo Club Assoc, LLC",,784.00,1011.00,,,,784.00,,7/26/01,"Bryant Road, LLC",,784.00,,
2224 Dunhill Lane," 	1,359.00 ",,7/26/01,"Bryant Road, LLC",,594.00,765.00,,,,594.00,,7/26/01,"Bryant Road, LLC",,594.00,,
2224 Market Garden Lane, 	517.68 ,3123,4/2/08,Bryant Road LLC,,226.13,291.55,,,,226.13,3123,4/2/08,Bryant Road LLC,,226.13,,
2224 Sunningdale Drive," 	1,795.00 ",,1/19/06,"Polo Club Assoc, LLC",,784.00,1011.00,,,,784.00,,7/26/01,"Bryant Road, LLC",,784.00,,
2225 Sunningdale Drive," 	1,795.00 ",,1/19/06,"Polo Club Assoc, LLC",,784.00,1011.00,,,,784.00,,7/26/01,"Bryant Road, LLC",,784.00,,
2228 Dunhill Lane," 	1,359.00 ",,7/26/01,"Bryant Road, LLC",,594.00,765.00,,,,594.00,,7/26/01,"Bryant Road, LLC",,594.00,,
2228 Market Garden Lane, 	517.68 ,3123,4/2/08,Bryant Road LLC,,226.13,291.55,,,,226.13,3123,4/2/08,Bryant Road LLC,,226.13,,
2228 Sunningdale Drive," 	1,795.00 ",,1/19/06,"Polo Club Assoc, LLC",,784.00,1011.00,,,,784.00,,7/26/01,"Bryant Road, LLC",,784.00,,
2229 Blackmoor Park Lane, 	845.38 ,1214,8/27/01,North Fork Land Co. LLC,,309.33,536.06,,,,2886.00,21767,1/7/02,Pickett Development Corporation,1153.00,503.00,148.00,1082.00
2232 Blackmoor Park Lane, 	845.38 ,1246,3/26/02,North Fork Land Co. LLC,,309.33,536.06,,,,2886.00,24947,11/4/02,ARTIQUE CUSTOM HOMES LLC,1153.00,503.00,148.00,1082.00
2232 Dunhill Lane," 	1,359.00 ",,7/26/01,"Bryant Road, LLC",,594.00,765.00,,,,594.00,,7/26/01,"Bryant Road, LLC",,594.00,,
2232 Market Garden Lane, 	517.68 ,3123,4/2/08,Bryant Road LLC,,226.13,291.55,,,,226.13,3123,4/2/08,Bryant Road LLC,,226.13,,
2232 Sunningdale Drive," 	1,795.00 ",,1/19/06,"Polo Club Assoc, LLC",,784.00,1011.00,,,,784.00,,7/26/01,"Bryant Road, LLC",,784.00,,
2233 Blackmoor Park Lane, 	845.38 ,1250,8/16/02,North Fork Land Co. LLC,,309.33,536.06,,,,2886.00,25542,1/23/03,Artique Custom Homes,1153.00,503.00,148.00,1082.00
2236 Blackmoor Park Lane, 	845.38 ,1132,6/8/00,Pickett Homes,,309.33,536.06,,,,2886.00,20709,6/27/01,Pickett Development Corporation,1153.00,503.00,148.00,1082.00
2236 Dunhill Lane," 	1,359.00 ",,7/26/01,"Bryant Road, LLC",,594.00,765.00,,,,594.00,,7/26/01,"Bryant Road, LLC",,594.00,,
2236 Market Garden Lane, 	517.68 ,3123,4/2/08,Bryant Road LLC,,226.13,291.55,,,,226.13,3123,4/2/08,Bryant Road LLC,,226.13,,
2236 Sunningdale Drive," 	1,795.00 ",,1/19/06,"Polo Club Assoc, LLC",,784.00,1011.00,,,,784.00,,7/26/01,"Bryant Road, LLC",,784.00,,
2237 Blackmoor Park Lane, 	845.38 ,1132,6/8/00,Pickett Homes,,309.33,536.06,,,,2886.00,22069,2/27/02,Pickett Development Corporation,1153.00,503.00,148.00,1082.00
2237 Dunhill Lane," 	1,359.00 ",,7/26/01,"Bryant Road, LLC",,594.00,765.00,,,,594.00,,7/26/01,"Bryant Road, LLC",,594.00,,
2237 Shaker Run Road, 	996.66 ,2096,9/12/02,"Bryant Road, LLC",,364.68,631.98,,,,3403.00,4444,7/13/04,Nathan Cornett,1359.00,593.00,175.00,1276.00
2237 Sunningdale Drive," 	1,795.00 ",,1/19/06,"Polo Club Assoc, LLC",,784.00,1011.00,,,,784.00,,7/26/01,"Bryant Road, LLC",,784.00,,
2240 Dunhill Lane," 	1,359.00 ",,7/26/01,"Bryant Road, LLC",,594.00,765.00,,,,594.00,,7/26/01,"Bryant Road, LLC",,594.00,,
2240 Market Garden Lane, 	517.68 ,3123,4/2/08,Bryant Road LLC,,226.13,291.55,,,,226.13,3123,4/2/08,Bryant Road LLC,,226.13,,
2240 Sunningdale Drive," 	1,795.00 ",,1/19/06,"Polo Club Assoc, LLC",,784.00,1011.00,,,,784.00,,7/26/01,"Bryant Road, LLC",,784.00,,
2241 Dunhill Lane," 	1,359.00 ",,7/26/01,"Bryant Road, LLC",,594.00,765.00,,,,594.00,,7/26/01,"Bryant Road, LLC",,594.00,,
2244 Blackmoor Park Lane, 	845.38 ,21305,7/10/01,Artique Custom Homes,,309.33,536.06,,,,2886.00,23479,4/24/02,Artique Custom Homes,1153.00,503.00,148.00,1082.00
2244 Dunhill Lane," 	1,359.00 ",,7/26/01,"Bryant Road, LLC",,594.00,765.00,,,,594.00,,7/26/01,"Bryant Road, LLC",,594.00,,
2244 Market Garden Lane, 	517.68 ,3123,4/2/08,Bryant Road LLC,,226.13,291.55,,,,226.13,3123,4/2/08,Bryant Road LLC,,226.13,,
2244 Sunningdale Drive," 	1,359.00 ",,7/26/01,"Bryant Road, LLC",,594.00,765.00,,,,594.00,,7/26/01,"Bryant Road, LLC",,594.00,,
