COMBINE ST & NAME,total pymts,,Lot,Total Paid,DIFF,,Roads,SewerTransmission,SewerCapacity,Parks,Stormwater,OpenSpace,chk
2237 Dunhill Lane,1953,,"2237 Dunhill Lane  Lexington, KY","$1,359.00 ",$594.00 ,,,1188,765,,,,0
2240 Dunhill Lane,1953,,"2240 Dunhill Lane  Lexington, KY","$1,359.00 ",$594.00 ,,,1188,765,,,,0
2241 Dunhill Lane,1953,,"2241 Dunhill Lane  Lexington, KY","$1,359.00 ",$594.00 ,,,1188,765,,,,0
2244 Dunhill Lane,1953,,"2244 Dunhill Lane  Lexington, KY","$1,359.00 ",$594.00 ,,,1188,765,,,,0
2244 Sunningdale Drive,1953,,"2244 Sunningdale Drive  Lexington, KY","$1,359.00 ",$594.00 ,,,1188,765,,,,0
2245 Sunningdale Drive,1953,,"2245 Sunningdale Drive  Lexington, KY","$1,359.00 ",$594.00 ,,,1188,765,,,,0
2248 Dunhill Lane,1953,,"2248 Dunhill Lane  Lexington, KY","$1,359.00 ",$594.00 ,,,1188,765,,,,0
2248 Sunningdale Drive,1953,,"2248 Sunningdale Drive  Lexington, KY","$1,359.00 ",$594.00 ,,,1188,765,,,,0
2249 Dunhill Lane,1953,,"2249 Dunhill Lane  Lexington, KY","$1,359.00 ",$594.00 ,,,1188,765,,,,0
2249 Sunningdale Drive,1953,,"2249 Sunningdale Drive  Lexington, KY","$1,359.00 ",$594.00 ,,,1188,765,,,,0
2252 Dunhill Lane,1953,,"2252 Dunhill Lane  Lexington, KY","$1,359.00 ",$594.00 ,,,1188,765,,,,0
2252 Sunningdale Drive,1953,,"2252 Sunningdale Drive  Lexington, KY","$1,359.00 ",$594.00 ,,,1188,765,,,,0
2256 Dunhill Lane,1953,,"2256 Dunhill Lane  Lexington, KY","$1,359.00 ",$594.00 ,,,1188,765,,,,0
2256 Sunningdale Drive,1953,,"2256 Sunningdale Drive  Lexington, KY","$1,359.00 ",$594.00 ,,,1188,765,,,,0
2257 Sunningdale Drive,1953,,"2257 Sunningdale Drive  Lexington, KY","$1,359.00 ",$594.00 ,,,1188,765,,,,0
2260 Sunningdale Drive,1953,,"2260 Sunningdale Drive  Lexington, KY","$1,359.00 ",$594.00 ,,,1188,765,,,,0
2261 Sunningdale Drive,1953,,"2261 Sunningdale Drive  Lexington, KY","$1,359.00 ",$594.00 ,,,1188,765,,,,0
2264 Sunningdale Drive,1953,,"2264 Sunningdale Drive  Lexington, KY","$1,359.00 ",$594.00 ,,,1188,765,,,,0
2265 Sunningdale Drive,1953,,"2265 Sunningdale Drive  Lexington, KY","$1,359.00 ",$594.00 ,,,1188,765,,,,0
2268 Sunningdale Drive,1953,,"2268 Sunningdale Drive  Lexington, KY","$1,359.00 ",$594.00 ,,,1188,765,,,,0
2269 Sunningdale Drive,1953,,"2269 Sunningdale Drive  Lexington, KY","$1,359.00 ",$594.00 ,,,1188,765,,,,0
2273 Sunningdale Drive,1953,,"2273 Sunningdale Drive  Lexington, KY","$1,359.00 ",$594.00 ,,,1188,765,,,,0
2276 Sunningdale Drive,1953,,"2276 Sunningdale Drive  Lexington, KY","$1,359.00 ",$594.00 ,,,1188,765,,,,0
2292 Sunningdale Drive,1953,,"2292 Sunningdale Drive  Lexington, KY","$1,359.00 ",$594.00 ,,,1188,765,,,,0
2300 Cross Creek Trace,1953,,"2300 Cross Creek Trace  Lexington, KY","$1,359.00 ",$594.00 ,,,1188,765,,,,0
2301 Cross Creek Trace,1953,,"2301 Cross Creek Trace  Lexington, KY","$1,359.00 ",$594.00 ,,,1188,765,,,,0
2304 Sunningdale Drive,1953,,"2304 Sunningdale Drive  Lexington, KY","$1,359.00 ",$594.00 ,,,1188,765,,,,0
2305 Cross Creek Trace,1953,,"2305 Cross Creek Trace  Lexington, KY","$1,359.00 ",$594.00 ,,,1188,765,,,,0
2305 Sunningdale Drive,1953,,"2305 Sunningdale Drive  Lexington, KY","$1,359.00 ",$594.00 ,,,1188,765,,,,0
2308 Cross Creek Trace,1953,,"2308 Cross Creek Trace  Lexington, KY","$1,359.00 ",$594.00 ,,,1188,765,,,,0
2308 Sunningdale Drive,1953,,"2308 Sunningdale Drive  Lexington, KY","$1,359.00 ",$594.00 ,,,1188,765,,,,0
2309 Cross Creek Trace,1953,,"2309 Cross Creek Trace  Lexington, KY","$1,359.00 ",$594.00 ,,,1188,765,,,,0
2309 Sunningdale Drive,1953,,"2309 Sunningdale Drive  Lexington, KY","$1,359.00 ",$594.00 ,,,1188,765,,,,0
2312 Sunningdale Drive,1953,,"2312 Sunningdale Drive  Lexington, KY","$1,359.00 ",$594.00 ,,,1188,765,,,,0
2313 Cross Creek Trace,1953,,"2313 Cross Creek Trace  Lexington, KY","$1,359.00 ",$594.00 ,,,1188,765,,,,0
3100 Dunhill Court,1953,,"3100 Dunhill Court  Lexington, KY","$1,359.00 ",$594.00 ,,,1188,765,,,,0
3100 Oakhurst Lane,1953,,"3100 Oakhurst Lane  Lexington, KY","$1,359.00 ",$594.00 ,,,1188,765,,,,0
3100 Sunningdale Court,1953,,"3100 Sunningdale Court  Lexington, KY","$1,359.00 ",$594.00 ,,,1188,765,,,,0
3101 Oakhurst Lane,1953,,"3101 Oakhurst Lane  Lexington, KY","$1,359.00 ",$594.00 ,,,1188,765,,,,0
3101 Sunningdale Court,1953,,"3101 Sunningdale Court  Lexington, KY","$1,359.00 ",$594.00 ,,,1188,765,,,,0
3104 Dunhill Court,1953,,"3104 Dunhill Court  Lexington, KY","$1,359.00 ",$594.00 ,,,1188,765,,,,0
3104 Oakhurst Lane,1953,,"3104 Oakhurst Lane  Lexington, KY","$1,359.00 ",$594.00 ,,,1188,765,,,,0
3104 Sunningdale Court,1953,,"3104 Sunningdale Court  Lexington, KY","$1,359.00 ",$594.00 ,,,1188,765,,,,0
3105 Dunhill Court,1953,,"3105 Dunhill Court  Lexington, KY","$1,359.00 ",$594.00 ,,,1188,765,,,,0
3105 Oakhurst Lane,1953,,"3105 Oakhurst Lane  Lexington, KY","$1,359.00 ",$594.00 ,,,1188,765,,,,0
