COMBINE ST & NAME,total pymts,,Lot,Total Paid,DIFF,,Roads,SewerTransmission,SewerCapacity,Parks,Stormwater,OpenSpace,chk
2241 Pokeberry Park,783.71,,"2241 Pokeberry Park  Lexington, KY","$1,302.61 ",($518.90),,,783.71,,,,,0
2244 Ice House Way,783.71,,"2244 Ice House Way  Lexington, KY","$1,302.61 ",($518.90),,,783.71,,,,,0
2245 Ice House Way,783.71,,"2245 Ice House Way  Lexington, KY","$1,302.61 ",($518.90),,,783.71,,,,,0
2245 Pokeberry Park,783.71,,"2245 Pokeberry Park  Lexington, KY","$1,302.61 ",($518.90),,,783.71,,,,,0
2248 Ice House Way,783.71,,"2248 Ice House Way  Lexington, KY","$1,302.61 ",($518.90),,,783.71,,,,,0
2248 Pokeberry Park,783.71,,"2248 Pokeberry Park  Lexington, KY","$1,302.61 ",($518.90),,,783.71,,,,,0
2249 Ice House Way,783.71,,"2249 Ice House Way  Lexington, KY","$1,302.61 ",($518.90),,,783.71,,,,,0
2252 Pokeberry Park,783.71,,"2252 Pokeberry Park  Lexington, KY","$1,302.61 ",($518.90),,,783.71,,,,,0
2253 Ice House Way,783.71,,"2253 Ice House Way  Lexington, KY","$1,302.61 ",($518.90),,,783.71,,,,,0
2256 Ice House Way,783.71,,"2256 Ice House Way  Lexington, KY","$1,302.61 ",($518.90),,,783.71,,,,,0
2256 Pokeberry Park,783.71,,"2256 Pokeberry Park  Lexington, KY","$1,302.61 ",($518.90),,,783.71,,,,,0
2260 Ice House Way,783.71,,"2260 Ice House Way  Lexington, KY","$1,302.61 ",($518.90),,,783.71,,,,,0
2260 Pokeberry Park,783.71,,"2260 Pokeberry Park  Lexington, KY","$1,302.61 ",($518.90),,,783.71,,,,,0
2261 Ice House Way,783.71,,"2261 Ice House Way  Lexington, KY","$1,302.61 ",($518.90),,,783.71,,,,,0
2261 Pokeberry Park,783.71,,"2261 Pokeberry Park  Lexington, KY","$1,302.61 ",($518.90),,,783.71,,,,,0
2264 Ice House Way,783.71,,"2264 Ice House Way  Lexington, KY","$1,302.61 ",($518.90),,,783.71,,,,,0
2268 Ice House Way,783.71,,"2268 Ice House Way  Lexington, KY","$1,302.61 ",($518.90),,,783.71,,,,,0
2276 Ice House Way,783.71,,"2276 Ice House Way  Lexington, KY","$1,302.61 ",($518.90),,,783.71,,,,,0
2280 Ice House Way,783.71,,"2280 Ice House Way  Lexington, KY","$1,302.61 ",($518.90),,,783.71,,,,,0
2284 Ice House Way,783.71,,"2284 Ice House Way  Lexington, KY","$1,302.61 ",($518.90),,,783.71,,,,,0
2285 Ice House Way,783.71,,"2285 Ice House Way  Lexington, KY","$1,302.61 ",($518.90),,,783.71,,,,,0
2288 Ice House Way,783.71,,"2288 Ice House Way  Lexington, KY","$1,302.61 ",($518.90),,,783.71,,,,,0
2292 Ice House Way,783.71,,"2292 Ice House Way  Lexington, KY","$1,302.61 ",($518.90),,,783.71,,,,,0
2296 Ice House Way,783.71,,"2296 Ice House Way  Lexington, KY","$1,302.61 ",($518.90),,,783.71,,,,,0
2297 Ice House Way,783.71,,"2297 Ice House Way  Lexington, KY","$1,302.61 ",($518.90),,,783.71,,,,,0
2300 Ice House Way,783.71,,"2300 Ice House Way  Lexington, KY","$1,302.61 ",($518.90),,,783.71,,,,,0
2304 Ice House Way,783.71,,"2304 Ice House Way  Lexington, KY","$1,302.61 ",($518.90),,,783.71,,,,,0
2308 Ice House Way,783.71,,"2308 Ice House Way  Lexington, KY","$1,302.61 ",($518.90),,,783.71,,,,,0
2312 Ice House Way,783.71,,"2312 Ice House Way  Lexington, KY","$1,302.61 ",($518.90),,,783.71,,,,,0
2316 Ice House Way,783.71,,"2316 Ice House Way  Lexington, KY","$1,302.61 ",($518.90),,,783.71,,,,,0
2317 Ice House Way,783.71,,"2317 Ice House Way  Lexington, KY","$1,302.61 ",($518.90),,,783.71,,,,,0
2320 Ice House Way,783.71,,"2320 Ice House Way  Lexington, KY","$1,302.61 ",($518.90),,,783.71,,,,,0
2324 Ice House Way,783.71,,"2324 Ice House Way  Lexington, KY","$1,302.61 ",($518.90),,,783.71,,,,,0
2328 Ice House Way,783.71,,"2328 Ice House Way  Lexington, KY","$1,302.61 ",($518.90),,,783.71,,,,,0
2332 Ice House Way,783.71,,"2332 Ice House Way  Lexington, KY","$1,302.61 ",($518.90),,,783.71,,,,,0
2333 Ice House Way,783.71,,"2333 Ice House Way  Lexington, KY","$1,302.61 ",($518.90),,,783.71,,,,,0
2336 Ice House Way,783.71,,"2336 Ice House Way  Lexington, KY","$1,302.61 ",($518.90),,,783.71,,,,,0
2340 Ice House Way,783.71,,"2340 Ice House Way  Lexington, KY","$1,302.61 ",($518.90),,,783.71,,,,,0
2344 Ice House Way,783.71,,"2344 Ice House Way  Lexington, KY","$1,302.61 ",($518.90),,,783.71,,,,,0
2348 Ice House Way,783.71,,"2348 Ice House Way  Lexington, KY","$1,302.61 ",($518.90),,,783.71,,,,,0
2349 Ice House Way,783.71,,"2349 Ice House Way  Lexington, KY","$1,302.61 ",($518.90),,,783.71,,,,,0
2352 Ice House Way,783.71,,"2352 Ice House Way  Lexington, KY","$1,302.61 ",($518.90),,,783.71,,,,,0
2353 Ice House Way,783.71,,"2353 Ice House Way  Lexington, KY","$1,302.61 ",($518.90),,,783.71,,,,,0
2356 Ice House Way,783.71,,"2356 Ice House Way  Lexington, KY","$1,302.61 ",($518.90),,,783.71,,,,,0
2357 Ice House Way,783.71,,"2357 Ice House Way  Lexington, KY","$1,302.61 ",($518.90),,,783.71,,,,,0
2360 Ice House Way,783.71,,"2360 Ice House Way  Lexington, KY","$1,302.61 ",($518.90),,,783.71,,,,,0
2364 Ice House Way,783.71,,"2364 Ice House Way  Lexington, KY","$1,302.61 ",($518.90),,,783.71,,,,,0
2365 Ice House Way,783.71,,"2365 Ice House Way  Lexington, KY","$1,302.61 ",($518.90),,,783.71,,,,,0
2368 Ice House Way,783.71,,"2368 Ice House Way  Lexington, KY","$1,302.61 ",($518.90),,,783.71,,,,,0
2372 Ice House Way,783.71,,"2372 Ice House Way  Lexington, KY","$1,302.61 ",($518.90),,,783.71,,,,,0
2376 Ice House Way,783.71,,"2376 Ice House Way  Lexington, KY","$1,302.61 ",($518.90),,,783.71,,,,,0
2377 Ice House Way,783.71,,"2377 Ice House Way  Lexington, KY","$1,302.61 ",($518.90),,,783.71,,,,,0
2380 Ice House Way,783.71,,"2380 Ice House Way  Lexington, KY","$1,302.61 ",($518.90),,,783.71,,,,,0
2381 Ice House Way,783.71,,"2381 Ice House Way  Lexington, KY","$1,302.61 ",($518.90),,,783.71,,,,,0
2384 Ice House Way,783.71,,"2384 Ice House Way  Lexington, KY","$1,302.61 ",($518.90),,,783.71,,,,,0
2385 Ice House Way,783.71,,"2385 Ice House Way  Lexington, KY","$1,302.61 ",($518.90),,,783.71,,,,,0
2388 Ice House Way,783.71,,"2388 Ice House Way  Lexington, KY","$1,302.61 ",($518.90),,,783.71,,,,,0
2389 Ice House Way,783.71,,"2389 Ice House Way  Lexington, KY","$1,302.61 ",($518.90),,,783.71,,,,,0
2392 Ice House Way,783.71,,"2392 Ice House Way  Lexington, KY","$1,302.61 ",($518.90),,,783.71,,,,,0
2393 Ice House Way,783.71,,"2393 Ice House Way  Lexington, KY","$1,302.61 ",($518.90),,,783.71,,,,,0
2396 Ice House Way,783.71,,"2396 Ice House Way  Lexington, KY","$1,302.61 ",($518.90),,,783.71,,,,,0
2397 Ice House Way,783.71,,"2397 Ice House Way  Lexington, KY","$1,302.61 ",($518.90),,,783.71,,,,,0
3113 Owls Head Lane,783.71,,"3113 Owls Head Lane  Lexington, KY","$1,302.61 ",($518.90),,,783.71,,,,,0
3201 Toll Gate Road,783.71,,"3201 Toll Gate Road  Lexington, KY","$1,302.61 ",($518.90),,,783.71,,,,,0
3205 Orchard Grass Road,783.71,,"3205 Orchard Grass Road  Lexington, KY","$1,302.61 ",($518.90),,,783.71,,,,,0
3205 Toll Gate Road,783.71,,"3205 Toll Gate Road  Lexington, KY","$1,302.61 ",($518.90),,,783.71,,,,,0
3208 Orchard Grass Road,783.71,,"3208 Orchard Grass Road  Lexington, KY","$1,302.61 ",($518.90),,,783.71,,,,,0
3208 Toll Gate Road,783.71,,"3208 Toll Gate Road  Lexington, KY","$1,302.61 ",($518.90),,,783.71,,,,,0
3209 Orchard Grass Road,783.71,,"3209 Orchard Grass Road  Lexington, KY","$1,302.61 ",($518.90),,,783.71,,,,,0
3209 Toll Gate Road,783.71,,"3209 Toll Gate Road  Lexington, KY","$1,302.61 ",($518.90),,,783.71,,,,,0
3212 Orchard Grass Road,783.71,,"3212 Orchard Grass Road  Lexington, KY","$1,302.61 ",($518.90),,,783.71,,,,,0
3212 Toll Gate Road,783.71,,"3212 Toll Gate Road  Lexington, KY","$1,302.61 ",($518.90),,,783.71,,,,,0
3213 Orchard Grass Road,783.71,,"3213 Orchard Grass Road  Lexington, KY","$1,302.61 ",($518.90),,,783.71,,,,,0
3213 Toll Gate Road,783.71,,"3213 Toll Gate Road  Lexington, KY","$1,302.61 ",($518.90),,,783.71,,,,,0
3216 Orchard Grass Road,783.71,,"3216 Orchard Grass Road  Lexington, KY","$1,302.61 ",($518.90),,,783.71,,,,,0
3216 Toll Gate Road,783.71,,"3216 Toll Gate Road  Lexington, KY","$1,302.61 ",($518.90),,,783.71,,,,,0
3217 Orchard Grass Road,783.71,,"3217 Orchard Grass Road  Lexington, KY","$1,302.61 ",($518.90),,,783.71,,,,,0
3217 Toll Gate Road,783.71,,"3217 Toll Gate Road  Lexington, KY","$1,302.61 ",($518.90),,,783.71,,,,,0
3220 Orchard Grass Road,783.71,,"3220 Orchard Grass Road  Lexington, KY","$1,302.61 ",($518.90),,,783.71,,,,,0
3220 Toll Gate Road,783.71,,"3220 Toll Gate Road  Lexington, KY","$1,302.61 ",($518.90),,,783.71,,,,,0
3221 Orchard Grass Road,783.71,,"3221 Orchard Grass Road  Lexington, KY","$1,302.61 ",($518.90),,,783.71,,,,,0
3221 Toll Gate Road,783.71,,"3221 Toll Gate Road  Lexington, KY","$1,302.61 ",($518.90),,,783.71,,,,,0
3224 Orchard Grass Road,783.71,,"3224 Orchard Grass Road  Lexington, KY","$1,302.61 ",($518.90),,,783.71,,,,,0
3224 Toll Gate Road,783.71,,"3224 Toll Gate Road  Lexington, KY","$1,302.61 ",($518.90),,,783.71,,,,,0
3225 Toll Gate Road,783.71,,"3225 Toll Gate Road  Lexington, KY","$1,302.61 ",($518.90),,,783.71,,,,,0
3228 Orchard Grass Road,783.71,,"3228 Orchard Grass Road  Lexington, KY","$1,302.61 ",($518.90),,,783.71,,,,,0
3228 Toll Gate Road,783.71,,"3228 Toll Gate Road  Lexington, KY","$1,302.61 ",($518.90),,,783.71,,,,,0
3229 Toll Gate Road,783.71,,"3229 Toll Gate Road  Lexington, KY","$1,302.61 ",($518.90),,,783.71,,,,,0
3232 Orchard Grass Road,783.71,,"3232 Orchard Grass Road  Lexington, KY","$1,302.61 ",($518.90),,,783.71,,,,,0
3232 Toll Gate Road,783.71,,"3232 Toll Gate Road  Lexington, KY","$1,302.61 ",($518.90),,,783.71,,,,,0
3236 Orchard Grass Road,783.71,,"3236 Orchard Grass Road  Lexington, KY","$1,302.61 ",($518.90),,,783.71,,,,,0
3236 Toll Gate Road,783.71,,"3236 Toll Gate Road  Lexington, KY","$1,302.61 ",($518.90),,,783.71,,,,,0
3237 Orchard Grass Road,783.71,,"3237 Orchard Grass Road  Lexington, KY","$1,302.61 ",($518.90),,,783.71,,,,,0
3240 Orchard Grass Road,783.71,,"3240 Orchard Grass Road  Lexington, KY","$1,302.61 ",($518.90),,,783.71,,,,,0
3241 Orchard Grass Road,783.71,,"3241 Orchard Grass Road  Lexington, KY","$1,302.61 ",($518.90),,,783.71,,,,,0
3245 Orchard Grass Road,783.71,,"3245 Orchard Grass Road  Lexington, KY","$1,302.61 ",($518.90),,,783.71,,,,,0
3249 Orchard Grass Road,783.71,,"3249 Orchard Grass Road  Lexington, KY","$1,302.61 ",($518.90),,,783.71,,,,,0
3253 Orchard Grass Road,783.71,,"3253 Orchard Grass Road  Lexington, KY","$1,302.61 ",($518.90),,,783.71,,,,,0
3257 Orchard Grass Road,783.71,,"3257 Orchard Grass Road  Lexington, KY","$1,302.61 ",($518.90),,,783.71,,,,,0
3261 Orchard Grass Road,783.71,,"3261 Orchard Grass Road  Lexington, KY","$1,302.61 ",($518.90),,,783.71,,,,,0
3261 Polo Club Boulevard,783.71,,"3261 Polo Club Boulevard  Lexington, KY","$1,302.61 ",($518.90),,,783.71,,,,,0
3265 Orchard Grass Road,783.71,,"3265 Orchard Grass Road  Lexington, KY","$1,302.61 ",($518.90),,,783.71,,,,,0
3265 Polo Club Boulevard,783.71,,"3265 Polo Club Boulevard  Lexington, KY","$1,302.61 ",($518.90),,,783.71,,,,,0
3268 Orchard Grass Road,783.71,,"3268 Orchard Grass Road  Lexington, KY","$1,302.61 ",($518.90),,,783.71,,,,,0
3269 Orchard Grass Road,783.71,,"3269 Orchard Grass Road  Lexington, KY","$1,302.61 ",($518.90),,,783.71,,,,,0
3273 Orchard Grass Road,783.71,,"3273 Orchard Grass Road  Lexington, KY","$1,302.61 ",($518.90),,,783.71,,,,,0
3277 Orchard Grass Road,783.71,,"3277 Orchard Grass Road  Lexington, KY","$1,302.61 ",($518.90),,,783.71,,,,,0
3280 Orchard Grass Road,783.71,,"3280 Orchard Grass Road  Lexington, KY","$1,302.61 ",($518.90),,,783.71,,,,,0
3281 Orchard Grass Road,783.71,,"3281 Orchard Grass Road  Lexington, KY","$1,302.61 ",($518.90),,,783.71,,,,,0
3281 Polo Club Boulevard,783.71,,"3281 Polo Club Boulevard  Lexington, KY","$1,302.61 ",($518.90),,,783.71,,,,,0
3285 Orchard Grass Road,783.71,,"3285 Orchard Grass Road  Lexington, KY","$1,302.61 ",($518.90),,,783.71,,,,,0
3285 Polo Club Boulevard,783.71,,"3285 Polo Club Boulevard  Lexington, KY","$1,302.61 ",($518.90),,,783.71,,,,,0
3289 Orchard Grass Road,783.71,,"3289 Orchard Grass Road  Lexington, KY","$1,302.61 ",($518.90),,,783.71,,,,,0
3289 Polo Club Boulevard,783.71,,"3289 Polo Club Boulevard  Lexington, KY","$1,302.61 ",($518.90),,,783.71,,,,,0
3293 Orchard Grass Road,783.71,,"3293 Orchard Grass Road  Lexington, KY","$1,302.61 ",($518.90),,,783.71,,,,,0
3293 Polo Club Boulevard,783.71,,"3293 Polo Club Boulevard  Lexington, KY","$1,302.61 ",($518.90),,,783.71,,,,,0
3301 Orchard Grass Road,783.71,,"3301 Orchard Grass Road  Lexington, KY","$1,302.61 ",($518.90),,,783.71,,,,,0
3305 Orchard Grass Road,783.71,,"3305 Orchard Grass Road  Lexington, KY","$1,302.61 ",($518.90),,,783.71,,,,,0
3309 Orchard Grass Road,783.71,,"3309 Orchard Grass Road  Lexington, KY","$1,302.61 ",($518.90),,,783.71,,,,,0
3313 Orchard Grass Road,783.71,,"3313 Orchard Grass Road  Lexington, KY","$1,302.61 ",($518.90),,,783.71,,,,,0
3317 Orchard Grass Road,783.71,,"3317 Orchard Grass Road  Lexington, KY","$1,302.61 ",($518.90),,,783.71,,,,,0
3321 Orchard Grass Road,783.71,,"3321 Orchard Grass Road  Lexington, KY","$1,302.61 ",($518.90),,,783.71,,,,,0
3325 Orchard Grass Road,783.71,,"3325 Orchard Grass Road  Lexington, KY","$1,302.61 ",($518.90),,,783.71,,,,,0
3329 Orchard Grass Road,783.71,,"3329 Orchard Grass Road  Lexington, KY","$1,302.61 ",($518.90),,,783.71,,,,,0
3332 Orchard Grass Road,783.71,,"3332 Orchard Grass Road  Lexington, KY","$1,302.61 ",($518.90),,,783.71,,,,,0
3333 Orchard Grass Road,783.71,,"3333 Orchard Grass Road  Lexington, KY","$1,302.61 ",($518.90),,,783.71,,,,,0
3336 Orchard Grass Road,783.71,,"3336 Orchard Grass Road  Lexington, KY","$1,302.61 ",($518.90),,,783.71,,,,,0
3337 Orchard Grass Road,783.71,,"3337 Orchard Grass Road  Lexington, KY","$1,302.61 ",($518.90),,,783.71,,,,,0
3340 Orchard Grass Road,783.71,,"3340 Orchard Grass Road  Lexington, KY","$1,302.61 ",($518.90),,,783.71,,,,,0
3344 Orchard Grass Road,783.71,,"3344 Orchard Grass Road  Lexington, KY","$1,302.61 ",($518.90),,,783.71,,,,,0
3348 Orchard Grass Road,783.71,,"3348 Orchard Grass Road  Lexington, KY","$1,302.61 ",($518.90),,,783.71,,,,,0
3352 Orchard Grass Road,783.71,,"3352 Orchard Grass Road  Lexington, KY","$1,302.61 ",($518.90),,,783.71,,,,,0
3376 Sweet Clover Lane,898.68,,"3376 Sweet Clover Lane  Lexington, KY","$1,493.71 ",($595.03),,,898.68,,,,,0
1565 Sweet Clover Park,686.91,,"1565 Sweet Clover Park  Lexington, KY","$1,360.40 ",($673.49),,,686.91,,,,,0
1568 Sweet Clover Park,686.91,,"1568 Sweet Clover Park  Lexington, KY","$1,360.40 ",($673.49),,,686.91,,,,,0
1569 Sweet Clover Park,686.91,,"1569 Sweet Clover Park  Lexington, KY","$1,360.40 ",($673.49),,,686.91,,,,,0
1572 Sweet Clover Park,686.91,,"1572 Sweet Clover Park  Lexington, KY","$1,360.40 ",($673.49),,,686.91,,,,,0
1573 Sweet Clover Park,686.91,,"1573 Sweet Clover Park  Lexington, KY","$1,360.40 ",($673.49),,,686.91,,,,,0
1576 Sweet Clover Park,686.91,,"1576 Sweet Clover Park  Lexington, KY","$1,360.40 ",($673.49),,,686.91,,,,,0
1577 Sweet Clover Park,686.91,,"1577 Sweet Clover Park  Lexington, KY","$1,360.40 ",($673.49),,,686.91,,,,,0
3116 Sweet Clover Lane,686.91,,"3116 Sweet Clover Lane  Lexington, KY","$1,360.40 ",($673.49),,,686.91,,,,,0
3120 Sweet Clover Lane,686.91,,"3120 Sweet Clover Lane  Lexington, KY","$1,360.40 ",($673.49),,,686.91,,,,,0
3121 Sweet Clover Lane,686.91,,"3121 Sweet Clover Lane  Lexington, KY","$1,360.40 ",($673.49),,,686.91,,,,,0
3124 Sweet Clover Lane,686.91,,"3124 Sweet Clover Lane  Lexington, KY","$1,360.40 ",($673.49),,,686.91,,,,,0
3127 Sweet Clover Lane,686.91,,"3127 Sweet Clover Lane  Lexington, KY","$1,360.40 ",($673.49),,,686.91,,,,,0
3128 Sweet Clover Lane,686.91,,"3128 Sweet Clover Lane  Lexington, KY","$1,360.40 ",($673.49),,,686.91,,,,,0
3132 Sweet Clover Lane,686.91,,"3132 Sweet Clover Lane  Lexington, KY","$1,360.40 ",($673.49),,,686.91,,,,,0
3135 Sweet Clover Lane,686.91,,"3135 Sweet Clover Lane  Lexington, KY","$1,360.40 ",($673.49),,,686.91,,,,,0
3136 Sweet Clover Lane,686.91,,"3136 Sweet Clover Lane  Lexington, KY","$1,360.40 ",($673.49),,,686.91,,,,,0
3140 Sweet Clover Lane,686.91,,"3140 Sweet Clover Lane  Lexington, KY","$1,360.40 ",($673.49),,,686.91,,,,,0
3141 Sweet Clover Lane,686.91,,"3141 Sweet Clover Lane  Lexington, KY","$1,360.40 ",($673.49),,,686.91,,,,,0
3144 Sweet Clover Lane,686.91,,"3144 Sweet Clover Lane  Lexington, KY","$1,360.40 ",($673.49),,,686.91,,,,,0
3148 Sweet Clover Lane,686.91,,"3148 Sweet Clover Lane  Lexington, KY","$1,360.40 ",($673.49),,,686.91,,,,,0
3152 Sweet Clover Lane,686.91,,"3152 Sweet Clover Lane  Lexington, KY","$1,360.40 ",($673.49),,,686.91,,,,,0
3156 Sweet Clover Lane,686.91,,"3156 Sweet Clover Lane  Lexington, KY","$1,360.40 ",($673.49),,,686.91,,,,,0
3160 Sweet Clover Lane,686.91,,"3160 Sweet Clover Lane  Lexington, KY","$1,360.40 ",($673.49),,,686.91,,,,,0
3164 Sweet Clover Lane,686.91,,"3164 Sweet Clover Lane  Lexington, KY","$1,360.40 ",($673.49),,,686.91,,,,,0
3168 Sweet Clover Lane,686.91,,"3168 Sweet Clover Lane  Lexington, KY","$1,360.40 ",($673.49),,,686.91,,,,,0
3172 Sweet Clover Lane,686.91,,"3172 Sweet Clover Lane  Lexington, KY","$1,360.40 ",($673.49),,,686.91,,,,,0
3308 Polo Club Boulevard,686.91,,"3308 Polo Club Boulevard  Lexington, KY","$1,360.40 ",($673.49),,,686.91,,,,,0
3312 Polo Club Boulevard,686.91,,"3312 Polo Club Boulevard  Lexington, KY","$1,360.40 ",($673.49),,,686.91,,,,,0
3332 Polo Club Boulevard,686.91,,"3332 Polo Club Boulevard  Lexington, KY","$1,360.40 ",($673.49),,,686.91,,,,,0
3336 Polo Club Boulevard,686.91,,"3336 Polo Club Boulevard  Lexington, KY","$1,360.40 ",($673.49),,,686.91,,,,,0
3348 Polo Club Boulevard,686.91,,"3348 Polo Club Boulevard  Lexington, KY","$1,360.40 ",($673.49),,,686.91,,,,,0
3352 Polo Club Boulevard,686.91,,"3352 Polo Club Boulevard  Lexington, KY","$1,360.40 ",($673.49),,,686.91,,,,,0
3360 Polo Club Boulevard,686.91,,"3360 Polo Club Boulevard  Lexington, KY","$1,360.40 ",($673.49),,,686.91,,,,,0
3364 Polo Club Boulevard,686.91,,"3364 Polo Club Boulevard  Lexington, KY","$1,360.40 ",($673.49),,,686.91,,,,,0
3374 Polo Club Boulevard,686.91,,"3374 Polo Club Boulevard  Lexington, KY","$1,360.40 ",($673.49),,,686.91,,,,,0
3378 Polo Club Boulevard,686.91,,"3378 Polo Club Boulevard  Lexington, KY","$1,360.40 ",($673.49),,,686.91,,,,,0
3380 Sweet Clover Lane,686.91,,"3380 Sweet Clover Lane  Lexington, KY","$1,360.40 ",($673.49),,,686.91,,,,,0
3382 Polo Club Boulevard,686.91,,"3382 Polo Club Boulevard  Lexington, KY","$1,360.40 ",($673.49),,,686.91,,,,,0
3384 Sweet Clover Lane,686.91,,"3384 Sweet Clover Lane  Lexington, KY","$1,360.40 ",($673.49),,,686.91,,,,,0
3386 Polo Club Boulevard,686.91,,"3386 Polo Club Boulevard  Lexington, KY","$1,360.40 ",($673.49),,,686.91,,,,,0
3388 Sweet Clover Lane,686.91,,"3388 Sweet Clover Lane  Lexington, KY","$1,360.40 ",($673.49),,,686.91,,,,,0
3390 Polo Club Boulevard,686.91,,"3390 Polo Club Boulevard  Lexington, KY","$1,360.40 ",($673.49),,,686.91,,,,,0
3392 Sweet Clover Lane,686.91,,"3392 Sweet Clover Lane  Lexington, KY","$1,360.40 ",($673.49),,,686.91,,,,,0
3394 Polo Club Boulevard,686.91,,"3394 Polo Club Boulevard  Lexington, KY","$1,360.40 ",($673.49),,,686.91,,,,,0
3396 Sweet Clover Lane,686.91,,"3396 Sweet Clover Lane  Lexington, KY","$1,360.40 ",($673.49),,,686.91,,,,,0
3398 Polo Club Boulevard,686.91,,"3398 Polo Club Boulevard  Lexington, KY","$1,360.40 ",($673.49),,,686.91,,,,,0
3400 Sweet Clover Lane,686.91,,"3400 Sweet Clover Lane  Lexington, KY","$1,360.40 ",($673.49),,,686.91,,,,,0
3401 Sweet Clover Lane,686.91,,"3401 Sweet Clover Lane  Lexington, KY","$1,360.40 ",($673.49),,,686.91,,,,,0
3404 Sweet Clover Lane,686.91,,"3404 Sweet Clover Lane  Lexington, KY","$1,360.40 ",($673.49),,,686.91,,,,,0
3405 Sweet Clover Lane,686.91,,"3405 Sweet Clover Lane  Lexington, KY","$1,360.40 ",($673.49),,,686.91,,,,,0
3408 Sweet Clover Lane,686.91,,"3408 Sweet Clover Lane  Lexington, KY","$1,360.40 ",($673.49),,,686.91,,,,,0
3409 Sweet Clover Lane,686.91,,"3409 Sweet Clover Lane  Lexington, KY","$1,360.40 ",($673.49),,,686.91,,,,,0
3412 Sweet Clover Lane,686.91,,"3412 Sweet Clover Lane  Lexington, KY","$1,360.40 ",($673.49),,,686.91,,,,,0
3413 Sweet Clover Lane,686.91,,"3413 Sweet Clover Lane  Lexington, KY","$1,360.40 ",($673.49),,,686.91,,,,,0
3424 Sweet Clover Lane,686.91,,"3424 Sweet Clover Lane  Lexington, KY","$1,360.40 ",($673.49),,,686.91,,,,,0
209 Grassland Park,2860.93,,"209 Grassland Park  Lexington, KY","$3,538.03 ",($677.10),,1256.8,,,226.35,976.44,401.34,0
261 Grassland Park,4538.63,,"261 Grassland Park  Lexington, KY","$5,395.36 ",($856.73),,1256.8,1000.6,,226.35,1653.54,401.34,0
4739 Foxglove Point,2220.77,,"4739 Foxglove Point  Lexington, KY","$3,077.98 ",($857.21),credits swr cap=857.21,,2092.59,128.18,,,,0
4740 Foxglove Point,2220.77,,"4740 Foxglove Point  Lexington, KY","$3,077.98 ",($857.21),credits swr cap=857.21,,2092.59,128.18,,,,0
4744 Foxglove Point,2220.77,,"4744 Foxglove Point  Lexington, KY","$3,077.98 ",($857.21),credits swr cap=857.21,,2092.59,128.18,,,,0
4745 Foxglove Point,2220.77,,"4745 Foxglove Point  Lexington, KY","$3,077.98 ",($857.21),credits swr cap=857.21,,2092.59,128.18,,,,0
4748 Foxglove Point,2220.77,,"4748 Foxglove Point  Lexington, KY","$3,077.98 ",($857.21),credits swr cap=857.21,,2092.59,128.18,,,,0
4749 Foxglove Point,2220.77,,"4749 Foxglove Point  Lexington, KY","$3,077.98 ",($857.21),credits swr cap=857.21,,2092.59,128.18,,,,0
4752 Foxglove Point,2220.77,,"4752 Foxglove Point  Lexington, KY","$3,077.98 ",($857.21),credits swr cap=857.21,,2092.59,128.18,,,,0
4753 Foxglove Point,2220.77,,"4753 Foxglove Point  Lexington, KY","$3,077.98 ",($857.21),credits swr cap=857.21,,2092.59,128.18,,,,0
4753 Larkhill Lane,2220.77,,"4753 Larkhill Lane  Lexington, KY","$3,077.98 ",($857.21),credits swr cap=857.21,,2092.59,128.18,,,,0
4756 Foxglove Point,2220.77,,"4756 Foxglove Point  Lexington, KY","$3,077.98 ",($857.21),credits swr cap=857.21,,2092.59,128.18,,,,0
4769 Foxglove Point,2220.77,,"4769 Foxglove Point  Lexington, KY","$3,077.98 ",($857.21),credits swr cap=857.21,,2092.59,128.18,,,,0
4772 Foxglove Point,2220.77,,"4772 Foxglove Point  Lexington, KY","$3,077.98 ",($857.21),credits swr cap=857.21,,2092.59,128.18,,,,0
1806 Falling Leaves Lane,349.33,,"1806 Falling Leaves Lane  Lexington, KY","$1,986.67 ","($1,637.34)",,,349.33,,,,,0
1814 Falling Leaves Lane,349.33,,"1814 Falling Leaves Lane  Lexington, KY","$1,986.67 ","($1,637.34)",,,349.33,,,,,0
1818 Falling Leaves Lane,349.33,,"1818 Falling Leaves Lane  Lexington, KY","$1,986.67 ","($1,637.34)",,,349.33,,,,,0
1822 Falling Leaves Lane,349.33,,"1822 Falling Leaves Lane  Lexington, KY","$1,986.67 ","($1,637.34)",,,349.33,,,,,0
1826 Falling Leaves Lane,349.33,,"1826 Falling Leaves Lane  Lexington, KY",1986.67,"($1,637.34)",,,349.33,,,,,0
1830 Falling Leaves Lane,349.33,,"1830 Falling Leaves Lane  Lexington, KY","$1,986.67 ","($1,637.34)",,,349.33,,,,,0
1834 Falling Leaves Lane,349.33,,"1834 Falling Leaves Lane  Lexington, KY","$1,986.67 ","($1,637.34)",,,349.33,,,,,0
1838 Falling Leaves Lane,349.33,,"1838 Falling Leaves Lane  Lexington, KY","$1,986.67 ","($1,637.34)",,,349.33,,,,,0
1842 Falling Leaves Lane,349.33,,"1842 Falling Leaves Lane  Lexington, KY","$1,986.67 ","($1,637.34)",,,349.33,,,,,0
1846 Falling Leaves Lane,349.33,,"1846 Falling Leaves Lane  Lexington, KY","$1,986.67 ","($1,637.34)",,,349.33,,,,,0
